Nombre del Barrio o Colonia,Vivendas con 0 NBI,Vivendas con 1 NBI,Vivendas con 2 NBI,Vivendas con 3 NBI,Vivendas con 4+ NBI,total,rank,avrg
BO. CENTRO DE TEGUCIGALPA,28,34,1,0,1,36,40,1.111111111
COL. SAGASTUME NO.1,301,118,49,19,9,195,309,1.584615385
COL. LAS TORRES,756,407,124,40,15,586,835,1.424914676
COL. NUEVA ESPERANZA,542,221,86,26,21,354,555,1.56779661
COL. 11 DE JUNIO O SUAZO CORDOVA,234,117,31,17,5,170,250,1.470588235
COL. 13 DE JULIO,126,51,25,10,0,86,131,1.523255814
RESIDENCIAL QUINTA BELLA,22,6,3,3,0,12,21,1.75
COL. LAS CRUCITAS,65,12,8,6,3,29,58,2
COL. VISTA HERMOSA,389,168,59,28,8,263,402,1.52851711
BARRIO CONCEPCION,27,20,3,2,0,25,32,1.28
BO. LA CHIVERA,69,39,17,1,0,57,76,1.333333333
VILLAS ALICANTES,10,8,2,0,0,10,12,1.2
BO. LA MERCED,7,2,0,0,1,3,6,2
RES. LA ESTANCIA(AGREGADA SEGMENTAC,4,0,0,1,0,1,3,3
COL. GRACIAS A DIOS,187,97,29,5,6,137,194,1.416058394
COL. TEPEYAC,236,42,30,21,9,102,201,1.970588235
COL. JARDINES DEL CARRIZAL,89,43,9,8,1,61,89,1.459016393
BO. LA CONCORDIA,58,10,1,2,7,20,46,2.3
COL. EL MANANTIAL,49,30,3,5,0,38,51,1.342105263
COL. LA TRINIDAD,478,197,72,25,8,302,448,1.483443709
BO. LA GRANJA,234,64,31,13,9,117,201,1.717948718
BO. EL PASTEL,104,74,16,2,0,92,112,1.217391304
COL. LOMAS DE LA FLORIDA,77,12,4,8,4,28,60,2.142857143
BO. LOS GIRASOLES,20,11,3,1,0,15,20,1.333333333
ZONA LLANOS DEL POTRERO,22,19,3,0,0,22,25,1.136363636
COL. LOS OLMOS,36,26,3,2,0,31,38,1.225806452
COL.ALTOS DE SAN FRANCISCO,415,230,48,17,7,302,405,1.341059603
COL. JOSE SIMON AZCONA,78,29,6,5,3,43,68,1.581395349
COL. RAFAEL LEONARDO CALLEJAS,294,144,37,13,5,199,277,1.391959799
COL. LOS PROCEDERES,50,8,1,1,6,16,37,2.3125
BO. EL EDEN No 2,181,60,25,6,7,98,156,1.591836735
COL. SANTA EDUVIGES,198,93,22,7,6,128,182,1.421875
COL. SAN MARTIN,174,94,28,6,0,128,168,1.3125
BO. LA CABAÑA,415,165,25,17,23,230,358,1.556521739
COL. MODESTO RODAS ALVARADO,159,94,22,3,2,121,155,1.280991736
COL. AYESTAS,712,419,97,18,6,540,691,1.27962963
COL. CRUZ ROJA,238,127,19,3,11,160,218,1.3625
COL. ROBERTO SUAZO CORDOVA,143,73,20,5,1,99,132,1.333333333
COL. EL  PEDERNAL,128,71,13,6,1,91,119,1.307692308
COL. SANTA ISABEL NO.2,92,33,7,3,5,48,76,1.583333333
COL. VIEJA SANTA ROSA,56,19,8,4,0,31,47,1.516129032
COL. LA FUENTE,144,88,17,5,0,110,137,1.245454545
COL. LA UNION,119,42,18,6,1,67,100,1.492537313
COL. TILOARQUE NORTE,11,5,0,0,1,6,9,1.5
COL. ALTOS DE SAN JOSE,77,14,3,5,5,27,55,2.037037037
BARRIO EL GUAYABAL,44,22,4,0,2,28,38,1.357142857
COL. LAS BRISAS,306,119,19,17,10,165,248,1.503030303
RES. VILLAS COLONIAL,33,20,2,2,0,24,30,1.25
BO. LA ESTRELLA,97,41,13,5,0,59,82,1.389830508
RES. VILLAS OESTE,14,3,4,0,0,7,11,1.571428571
COL. OSCAR CASTRO TEJEDA,88,34,8,3,3,48,71,1.479166667
COL. 14 DE MARZO,747,318,100,18,13,449,624,1.389755011
COL. NUEVA OROCUINA,159,68,14,9,2,93,131,1.408602151
BO. BELLA VISTA,704,340,86,23,5,454,601,1.323788546
